rank,year,month, sales , spectator ,screen,showed,company
1,2014,7,1.36E+11,17615038,1587,188645,cjenm
2,2014,12,1.11E+11,14260631,1044,212604,cjenm
3,2015,8,1.05E+11,13410905,1115,199122,cjenm
4,2009,12,1.25E+11,13302637,917,162505,fox
5,2012,7,93665632500,12983341,1091,155396,showbox
6,2013,1,91431950670,12811213,866,166817,next
7,2015,7,98435873781,12701857,1519,175103,showbox
8,2012,9,88909157769,12323555,1001,203442,cjenm
9,2013,12,82872264800,11374861,925,152276,next
10,2009,7,81025734000,11324545,764,154278,cj ent
11,2006,7,66716104300,10917221,647,113101,showbox
12,2005,12,66015436400,10513715,313,111176,cinema service
13,2015,4,88582586366,10494499,1843,191778,disney
14,2014,1,82461504400,10296101,1010,157683,disney
15,2014,11,82327584000,10279393,1410,169084,warner
16,2013,8,67012235200,9350323,1128,124859,cjenm
17,2013,9,66009791500,9135802,1240,125105,showbox
18,2013,4,70806191000,9001309,1389,163569,disney
19,2014,8,66372140706,8666208,910,133354,lotte
20,2014,1,62710874849,8658799,1027,136984,cjenm
21,2008,12,53801341400,8223342,408,145556,lotte
22,2009,7,57570773000,8035181,570,131671,showbox
23,2007,8,49340084700,7855474,622,96439,showbox
24,2011,6,74842906588,7785189,1409,124464,cjenm
25,2011,12,57302548500,7508976,1024,114771,cjenm
26,2011,8,55827861500,7470633,615,130054,lotte
27,2007,6,47710604338,7402732,863,92704,cj ent
28,2009,6,50699866000,7393443,1154,115150,cj ent
29,2011,5,54037597700,7362986,546,149149,cjenm
30,2013,1,52356346637,7166420,894,111745,cjenm
31,2012,4,59558111478,7074891,967,109701,sony
32,2013,6,48700887413,6959083,1341,117461,showbox
33,2007,7,44098824600,6855433,551,96536,cj ent
34,2008,7,43755375000,6686007,824,93580,cj ent
35,2012,10,46593612900,6654924,854,109136,cjenm
36,2005,8,40329355500,6436900,356,72129,showbox
37,2012,7,47645513000,6396615,1210,81259,warner
38,2015,9,48805014801,6241003,1210,123966,showbox
39,2010,8,47103309500,6178555,501,109879,cj ent
40,2015,2,50369009795,6129681,728,139988,fox
41,2015,7,48547353607,6126488,1202,89680,lotte
42,2006,12,36292848900,6081480,418,87141,showbox
43,2009,12,44093407200,6065474,612,102357,cj ent
44,2015,6,45563228330,6043784,1013,114449,next
45,2012,12,43078474000,5919686,696,82576,universal
46,2010,7,43394990000,5827444,531,81891,warner
47,2006,9,36181955500,5685642,492,76886,cj ent
48,2013,8,39602995500,5604106,779,88064,next
49,2013,7,39869706381,5584139,809,93488,lotte
50,2015,6,47800698826,5546792,1290,118959,universal
51,2013,7,39380162179,5508017,949,100309,next
52,2010,2,40153817000,5416829,569,118250,showbox
53,2009,11,38941723000,5397597,856,89309,sony
54,2011,10,38533486000,5311302,629,117844,cjenm
55,2014,6,44012272845,5295801,1602,107875,cjenm
56,2013,6,38555356000,5237525,964,100823,lotte
57,2012,12,37654858000,5181014,638,81147,cjenm
58,2006,5,32155201400,5127047,441,72584,etc
59,2006,1,31959686000,5074314,407,54339,cj ent
60,2011,5,44306815000,5064083,948,101418,cjenm
61,2008,2,33986959000,5046096,433,106805,showbox
62,2015,7,38014421536,4968231,931,83962,disney
63,2012,8,34614661161,4909937,694,78591,next
64,2012,6,41165656235,4853273,1118,92766,sony
65,2014,11,37355995079,4801628,806,93366,etc
66,2011,1,35841769500,4786259,634,84189,showbox
67,2014,7,36988275499,4774965,1394,67240,showbox
68,2012,2,36540327500,4720050,713,91892,showbox
69,2014,6,38732961201,4699307,801,94559,warner
70,2013,2,34881330905,4682492,671,90581,next
71,2011,9,35567397000,4662914,756,88341,cjenm
72,2008,6,29996926000,4654019,563,79875,cj ent
73,2012,5,34224467500,4598985,563,91777,next
74,2007,5,29511658000,4592309,806,79966,sony
75,2008,9,29688925850,4578239,451,111352,universal
76,2007,5,29133447500,4571229,953,78007,sony
77,2005,9,28622355500,4529876,351,61009,showbox
78,2012,7,32175400664,4515833,759,71928,cjenm
79,2015,10,36832588695,4514890,1132,98018,fox
80,2009,5,29690943500,4499776,702,93745,lotte
81,2010,4,32635195500,4425003,921,87665,cj ent
82,2011,7,34507600000,4400270,757,70380,warner
83,2014,5,34654558766,4313871,1056,82722,fox
84,2008,6,28638465100,4313102,707,74158,cj ent
85,2008,4,27880712500,4300365,592,78269,cj ent
86,2006,12,24401542200,4245247,345,56526,fox
87,2005,1,26285057000,4196859,238,59495,showbox
88,2014,4,34869056800,4168350,1312,91715,disney
89,2013,12,30037521000,4131338,807,69124,showbox
90,2012,3,30230722900,4112233,593,106170,lotte
91,2008,5,26689440000,4111753,771,75393,cj ent
92,2008,7,26217311000,4090885,634,64779,universal
93,2008,8,27046915500,4086362,462,64583,warner
94,2012,1,30130775500,4058225,544,80987,cjenm
95,2009,4,26380710000,4039891,475,90779,lotte
96,2008,1,26119898000,4018872,418,70724,etc
97,2014,9,32373120927,4015361,890,80584,lotte
98,2014,7,31514053095,4002560,956,72881,fox
99,2014,3,31710585385,3963220,1106,110108,disney
100,2006,7,23832939000,3911617,456,49648,etc
101,2013,1,28379548569,3897969,603,60604,showbox
102,2015,2,30456879428,3872015,825,80499,showbox
103,2014,4,29893406890,3849454,1054,83293,lotte
104,2015,5,32910973762,3843115,799,98821,warner
105,2008,12,25411823400,3749034,532,72498,showbox
106,2008,9,24326406000,3728439,585,78464,cj ent
107,2007,7,22899775300,3691060,768,52349,warner
108,2011,10,26566677000,3579666,603,87650,sony
109,2014,7,28811937456,3566844,794,77110,showbox
110,2005,12,22209675300,3471150,481,47155,cj ent
111,2005,12,21476683172,3470052,319,38451,etc
112,2012,1,25937273000,3459864,530,71593,next
113,2014,5,27007303900,3450305,645,84876,showbox
114,2013,9,24512378305,3436012,785,72804,cjenm
115,2005,12,21464160900,3430975,504,43063,warner
116,2015,9,27107408248,3430066,659,73658,warner
117,2014,8,27109896961,3429122,525,82753,etc
118,2013,12,25005809400,3395170,568,62395,universal
119,2012,5,27301520070,3379762,770,69538,sony
120,2010,7,25437344000,3350311,740,58200,cj ent
121,2006,7,20597497600,3331593,483,49539,cj ent
122,2010,6,23831968600,3330326,742,80093,lotte
123,2015,4,26454098694,3247955,983,93612,universal
124,2015,7,26556715129,3240370,1113,77590,lotte
125,2013,10,31486284600,3227647,636,81631,warner
126,2005,7,20363994500,3218811,340,35990,warner
127,2007,7,20622308900,3176937,528,47011,fox
128,2005,1,20091142000,3134424,299,40643,cinema service
129,2011,5,27279967500,3130046,960,67036,sony
130,2011,7,22960890000,3125069,514,60714,cjenm
131,2005,7,20487044593,3120195,386,41456,cj ent
132,2013,8,21774884000,3117859,806,55046,etc
133,2015,3,23558988686,3044134,926,100151,next
134,2013,10,22525808500,3039889,733,78095,disney
135,2009,6,20618276000,3024666,432,69946,showbox
136,2006,5,18873057800,3022936,514,42856,etc
137,2010,12,22057866500,3019960,472,57579,next
138,2010,1,21641865000,3018154,384,77732,cj ent
139,2011,12,22011176000,3009389,544,62075,cjenm
140,2013,7,21511371970,3004649,739,55733,lotte
141,2014,7,23980525189,3000115,829,51927,cjenm
142,2010,6,22490392000,2985556,495,67573,cj ent
143,2009,5,19970859600,2979728,642,71413,cj ent
144,2007,2,17598617600,2972299,498,48673,cj ent
145,2013,11,21804687513,2971475,968,69865,lotte
146,2007,11,18984549500,2965359,406,67339,cj ent
147,2012,11,21242367145,2963652,611,50679,etc
148,2005,6,18900071500,2963193,302,45087,fox
149,2009,7,20267484000,2957736,751,48115,warner
150,2011,7,21968680600,2945151,585,53745,showbox
151,2009,1,19075921900,2934435,274,63252,etc
152,2007,3,18683698500,2929561,402,60856,warner
153,2007,12,18336681000,2906958,492,52708,lotte
154,2010,7,21360288000,2869938,556,53679,sony
155,2015,6,22389535897,2860786,894,66208,showbox
156,2008,6,19249398000,2858750,512,55013,universal
157,2014,4,22256359300,2841788,716,72250,cjenm
158,2015,9,23528441937,2841699,949,74648,disney
159,2010,12,20128798500,2841233,717,52299,warner
160,2014,12,24268487685,2836774,926,51180,warner
161,2007,6,17898427500,2826957,620,64640,cj ent
162,2012,12,23436820716,2818993,1028,51583,warner
163,2014,9,21489367677,2812427,655,71048,fox
164,2015,1,21993119765,2801949,825,62229,disney
165,2011,8,20629757000,2773794,514,61264,fox
166,2015,9,21596966349,2744412,804,58724,fox
167,2012,11,20392542000,2729830,547,58417,showbox
168,2010,10,20996302500,2722996,502,69703,cj ent
169,2008,7,17844690500,2722574,602,60236,sony
170,2013,8,19146691869,2718227,691,54658,lotte
171,2013,10,18529880600,2711086,651,72330,lotte
172,2005,9,17654128500,2701293,306,46683,cj ent
173,2009,1,17782372500,2694436,426,45952,showbox
