0.012 pkt: 0 | received
0.028 ACK: 0 | sent
0.043 pkt: 1 | received
0.043 ACK: 1 | sent
0.059 pkt: 2 | received
0.075 ACK: 2 | sent
0.090 pkt: 3 | received
0.090 ACK: 3 | sent
0.106 pkt: 4 | received
0.106 ACK: 4 | sent
0.121 pkt: 5 | received
0.121 ACK: 5 | sent
0.137 pkt: 6 | received
0.153 ACK: 6 | sent
0.168 pkt: 7 | received
0.168 ACK: 7 | sent
0.184 pkt: 8 | received
0.199 ACK: 8 | sent
0.199 pkt: 9 | received
0.215 ACK: 9 | sent
0.231 pkt: 10 | received
0.231 ACK: 10 | sent
0.246 pkt: 11 | received
0.246 ACK: 11 | sent
0.262 pkt: 12 | received
0.278 ACK: 12 | sent
0.293 pkt: 13 | received
0.293 ACK: 13 | sent
0.309 pkt: 14 | received
0.324 ACK: 14 | sent
0.340 pkt: 15 | received
0.340 ACK: 15 | sent
0.365 pkt: 16 | received
0.376 ACK: 16 | sent
0.391 pkt: 17 | received
0.400 ACK: 17 | sent
0.413 pkt: 18 | received
0.418 ACK: 18 | sent
0.434 pkt: 19 | received
0.434 ACK: 19 | sent
0.450 pkt: 20 | received
0.465 ACK: 20 | sent
0.481 pkt: 21 | received
0.481 ACK: 21 | sent
0.497 pkt: 22 | received
0.512 ACK: 22 | sent
0.528 pkt: 23 | received
0.528 ACK: 23 | sent
0.543 pkt: 24 | received
0.559 ACK: 24 | sent
0.575 pkt: 25 | received
0.575 ACK: 25 | sent
0.590 pkt: 26 | received
0.606 ACK: 26 | sent
0.606 pkt: 27 | received
0.621 ACK: 27 | sent
0.637 pkt: 28 | received
0.637 ACK: 28 | sent
0.653 pkt: 29 | received
0.653 ACK: 29 | sent
0.668 pkt: 30 | received
0.684 ACK: 30 | sent
0.700 pkt: 31 | received
0.700 ACK: 31 | sent
0.715 pkt: 32 | received
0.731 ACK: 32 | sent
0.731 pkt: 33 | received
0.746 ACK: 33 | sent
0.762 pkt: 34 | received
0.762 ACK: 34 | sent
0.778 pkt: 35 | received
0.793 ACK: 35 | sent
0.809 pkt: 36 | received
0.809 ACK: 36 | sent
0.825 pkt: 37 | received
0.840 ACK: 37 | sent
0.840 pkt: 38 | received
0.856 ACK: 38 | sent
0.871 pkt: 39 | received
0.871 ACK: 39 | sent
0.887 pkt: 40 | received
0.903 ACK: 40 | sent
0.918 pkt: 41 | received
0.918 ACK: 41 | sent
0.934 pkt: 42 | received
0.934 ACK: 42 | sent
0.950 pkt: 43 | received
0.965 ACK: 43 | sent
0.981 pkt: 44 | received
0.981 ACK: 44 | sent
0.996 pkt: 45 | received
1.012 ACK: 45 | sent
1.012 pkt: 46 | received
1.028 ACK: 46 | sent
1.028 pkt: 47 | received
1.043 ACK: 47 | sent
1.043 pkt: 48 | received
1.043 ACK: 48 | sent
1.059 pkt: 49 | received
1.075 ACK: 49 | sent
1.090 pkt: 50 | received
1.090 ACK: 50 | sent
1.107 pkt: 51 | received
1.107 ACK: 51 | sent
1.123 pkt: 52 | received
1.139 ACK: 52 | sent
1.154 pkt: 53 | received
1.154 ACK: 53 | sent
1.170 pkt: 54 | received
1.185 ACK: 54 | sent
1.201 pkt: 55 | received
1.201 ACK: 55 | sent
1.217 pkt: 56 | received
1.232 ACK: 56 | sent
1.248 pkt: 57 | received
1.248 ACK: 57 | sent
1.263 pkt: 58 | received
1.279 ACK: 58 | sent
1.295 pkt: 59 | received
1.310 ACK: 59 | sent
1.326 pkt: 60 | received
1.326 ACK: 60 | sent
1.342 pkt: 61 | received
1.357 ACK: 61 | sent
1.373 pkt: 62 | received
1.373 ACK: 62 | sent
1.397 pkt: 63 | received
1.407 ACK: 63 | sent
1.420 pkt: 64 | received
1.420 ACK: 64 | sent
1.436 pkt: 65 | received
1.436 ACK: 65 | sent
1.451 pkt: 66 | received
1.451 ACK: 66 | sent
1.482 pkt: 67 | received
1.482 ACK: 67 | sent
1.498 pkt: 68 | received
1.498 ACK: 68 | sent
1.514 pkt: 69 | received
1.529 ACK: 69 | sent
1.545 pkt: 70 | received
1.545 ACK: 70 | sent
1.560 pkt: 71 | received
1.576 ACK: 71 | sent
1.592 pkt: 72 | received
1.592 ACK: 72 | sent
1.609 pkt: 73 | received
1.625 ACK: 73 | sent
1.640 pkt: 74 | received
1.640 ACK: 74 | sent
1.656 pkt: 75 | received
1.671 ACK: 75 | sent
1.687 pkt: 76 | received
1.687 ACK: 76 | sent
1.703 pkt: 77 | received
1.718 ACK: 77 | sent
1.718 pkt: 78 | received
1.734 ACK: 78 | sent
1.750 pkt: 79 | received
1.750 ACK: 79 | sent
1.765 pkt: 80 | received
1.781 ACK: 80 | sent
1.796 pkt: 81 | received
1.796 ACK: 81 | sent
1.812 pkt: 82 | received
1.828 ACK: 82 | sent
1.843 pkt: 83 | received
1.843 ACK: 83 | sent
1.859 pkt: 84 | received
1.875 ACK: 84 | sent
1.890 pkt: 85 | received
1.890 ACK: 85 | sent
1.906 pkt: 86 | received
1.921 ACK: 86 | sent
1.921 pkt: 87 | received
1.937 ACK: 87 | sent
1.953 pkt: 88 | received
1.953 ACK: 88 | sent
1.968 pkt: 89 | received
1.984 ACK: 89 | sent
2.000 pkt: 90 | received
2.000 ACK: 90 | sent
2.015 pkt: 91 | received
2.031 ACK: 91 | sent
2.031 pkt: 92 | received
2.046 ACK: 92 | sent
2.046 pkt: 93 | received
2.062 ACK: 93 | sent
2.078 pkt: 94 | received
2.078 ACK: 94 | sent
2.093 pkt: 95 | received
2.109 ACK: 95 | sent
2.124 pkt: 96 | received
2.124 ACK: 96 | sent
2.140 pkt: 97 | received
2.156 ACK: 97 | sent
2.171 pkt: 98 | received
2.171 ACK: 98 | sent
2.187 pkt: 99 | received
2.187 ACK: 99 | sent
2.203 pkt: 100 | received
2.218 ACK: 100 | sent
2.234 pkt: 101 | received
2.234 ACK: 101 | sent
2.249 pkt: 102 | received
2.265 ACK: 102 | sent
2.281 pkt: 103 | received
2.281 ACK: 103 | sent
2.296 pkt: 104 | received
2.296 ACK: 104 | sent
2.312 pkt: 105 | received
2.328 ACK: 105 | sent
2.343 pkt: 106 | received
2.343 ACK: 106 | sent
2.359 pkt: 107 | received
2.374 ACK: 107 | sent
2.374 pkt: 108 | received
2.397 ACK: 108 | sent
2.412 pkt: 109 | received
2.417 ACK: 109 | sent
2.418 pkt: 110 | received
2.434 ACK: 110 | sent
2.457 pkt: 111 | received
2.457 ACK: 111 | sent
2.473 pkt: 112 | received
2.488 ACK: 112 | sent
2.488 pkt: 113 | received
2.504 ACK: 113 | sent
2.519 pkt: 114 | received
2.519 ACK: 114 | sent
2.535 pkt: 115 | received
2.551 ACK: 115 | sent
2.566 pkt: 116 | received
2.582 ACK: 116 | sent
2.582 pkt: 117 | received
2.598 ACK: 117 | sent
2.613 pkt: 118 | received
2.629 ACK: 118 | sent
2.644 pkt: 119 | received
2.644 ACK: 119 | sent
2.660 pkt: 120 | received
2.676 ACK: 120 | sent
2.691 pkt: 121 | received
2.691 ACK: 121 | sent
2.707 pkt: 122 | received
2.723 ACK: 122 | sent
2.738 pkt: 123 | received
2.738 ACK: 123 | sent
2.754 pkt: 124 | received
2.754 ACK: 124 | sent
2.769 pkt: 125 | received
2.785 ACK: 125 | sent
2.801 pkt: 126 | received
2.801 ACK: 126 | sent
2.816 pkt: 127 | received
2.832 ACK: 127 | sent
2.848 pkt: 128 | received
2.848 ACK: 128 | sent
2.863 pkt: 129 | received
2.879 ACK: 129 | sent
2.894 pkt: 130 | received
2.894 ACK: 130 | sent
2.910 pkt: 131 | received
2.926 ACK: 131 | sent
2.941 pkt: 132 | received
2.941 ACK: 132 | sent
2.957 pkt: 133 | received
2.972 ACK: 133 | sent
2.988 pkt: 134 | received
2.988 ACK: 134 | sent
3.004 pkt: 135 | received
3.019 ACK: 135 | sent
3.035 pkt: 136 | received
3.035 ACK: 136 | sent
3.051 pkt: 137 | received
3.051 ACK: 137 | sent
3.066 pkt: 138 | received
3.066 ACK: 138 | sent
3.082 pkt: 139 | received
3.092 ACK: 139 | sent
3.092 pkt: 140 | received
3.113 ACK: 140 | sent
3.128 pkt: 141 | received
3.128 ACK: 141 | sent
3.144 pkt: 142 | received
3.144 ACK: 142 | sent
3.175 pkt: 143 | received
3.175 ACK: 143 | sent
3.191 pkt: 144 | received
3.207 ACK: 144 | sent
3.222 pkt: 145 | received
