0.015 pkt: 0 | sent
0.015 pkt: 1 | sent
0.031 pkt: 2 | sent
0.031 pkt: 3 | sent
0.046 pkt: 4 | sent
0.046 pkt: 5 | sent
0.062 pkt: 6 | sent
0.062 pkt: 7 | sent
0.140 ACK: 0 | received
0.140 pkt: 8 | sent
0.156 ACK: 1 | received
0.171 pkt: 9 | sent
0.187 ACK: 2 | received
0.187 pkt: 10 | sent
0.202 ACK: 3 | received
0.218 pkt: 11 | sent
0.234 ACK: 4 | received
0.234 pkt: 12 | sent
0.249 ACK: 5 | received
0.249 pkt: 13 | sent
0.281 ACK: 6 | received
0.281 pkt: 14 | sent
0.296 ACK: 7 | received
0.312 pkt: 15 | sent
0.327 ACK: 8 | received
0.327 pkt: 16 | sent
0.343 ACK: 9 | received
0.363 pkt: 17 | sent
0.379 ACK: 10 | received
0.384 pkt: 18 | sent
0.402 ACK: 11 | received
0.412 pkt: 19 | sent
0.421 ACK: 12 | received
0.421 pkt: 20 | sent
0.437 ACK: 13 | received
0.453 pkt: 21 | sent
0.468 ACK: 14 | received
0.468 pkt: 22 | sent
0.484 ACK: 15 | received
0.500 pkt: 23 | sent
0.515 ACK: 16 | received
0.515 pkt: 24 | sent
0.531 ACK: 17 | received
0.546 pkt: 25 | sent
0.562 ACK: 18 | received
0.562 pkt: 26 | sent
0.593 ACK: 19 | received
0.593 pkt: 27 | sent
0.609 ACK: 20 | received
0.609 pkt: 28 | sent
0.624 ACK: 21 | received
0.624 pkt: 29 | sent
0.656 ACK: 22 | received
0.656 pkt: 30 | sent
0.671 ACK: 23 | received
0.687 pkt: 31 | sent
0.703 ACK: 24 | received
0.703 pkt: 32 | sent
0.718 ACK: 25 | received
0.718 pkt: 33 | sent
0.734 ACK: 26 | received
0.749 pkt: 34 | sent
0.765 ACK: 27 | received
0.765 pkt: 35 | sent
0.781 ACK: 28 | received
0.796 pkt: 36 | sent
0.812 ACK: 29 | received
0.812 pkt: 37 | sent
0.828 ACK: 30 | received
0.843 pkt: 38 | sent
0.859 ACK: 31 | received
0.859 pkt: 39 | sent
0.874 ACK: 32 | received
0.874 pkt: 40 | sent
0.890 ACK: 33 | received
0.906 pkt: 41 | sent
0.921 ACK: 34 | received
0.921 pkt: 42 | sent
0.937 ACK: 35 | received
0.953 pkt: 43 | sent
0.953 ACK: 36 | received
0.968 pkt: 44 | sent
0.984 ACK: 37 | received
0.984 pkt: 45 | sent
0.999 ACK: 38 | received
1.015 pkt: 46 | sent
1.015 ACK: 39 | received
1.031 pkt: 47 | sent
1.031 ACK: 40 | received
1.046 pkt: 48 | sent
1.046 ACK: 41 | received
1.046 pkt: 49 | sent
1.062 ACK: 42 | received
1.077 pkt: 50 | sent
1.093 ACK: 43 | received
1.093 pkt: 51 | sent
1.110 ACK: 44 | received
1.110 pkt: 52 | sent
1.126 ACK: 45 | received
1.141 pkt: 53 | sent
1.157 ACK: 46 | received
1.157 pkt: 54 | sent
1.173 ACK: 47 | received
1.188 pkt: 55 | sent
1.204 ACK: 48 | received
1.204 pkt: 56 | sent
1.220 ACK: 49 | received
1.235 pkt: 57 | sent
1.251 ACK: 50 | received
1.251 pkt: 58 | sent
1.266 ACK: 51 | received
1.282 pkt: 59 | sent
1.298 ACK: 52 | received
1.313 pkt: 60 | sent
1.313 ACK: 53 | received
1.329 pkt: 61 | sent
1.345 ACK: 54 | received
1.345 pkt: 62 | sent
1.360 ACK: 55 | received
1.376 pkt: 63 | sent
1.396 ACK: 56 | received
1.404 pkt: 64 | sent
1.418 ACK: 57 | received
1.423 pkt: 65 | sent
1.439 ACK: 58 | received
1.439 pkt: 66 | sent
1.454 ACK: 59 | received
1.470 pkt: 67 | sent
1.470 ACK: 60 | received
1.485 pkt: 68 | sent
1.501 ACK: 61 | received
1.501 pkt: 69 | sent
1.517 ACK: 62 | received
1.532 pkt: 70 | sent
1.548 ACK: 63 | received
1.548 pkt: 71 | sent
1.563 ACK: 64 | received
1.579 pkt: 72 | sent
1.595 ACK: 65 | received
1.595 pkt: 73 | sent
1.612 ACK: 66 | received
1.628 pkt: 74 | sent
1.643 ACK: 67 | received
1.643 pkt: 75 | sent
1.659 ACK: 68 | received
1.674 pkt: 76 | sent
1.690 ACK: 69 | received
1.690 pkt: 77 | sent
1.706 ACK: 70 | received
1.706 pkt: 78 | sent
1.721 ACK: 71 | received
1.737 pkt: 79 | sent
1.753 ACK: 72 | received
1.753 pkt: 80 | sent
1.768 ACK: 73 | received
1.784 pkt: 81 | sent
1.799 ACK: 74 | received
1.799 pkt: 82 | sent
1.815 ACK: 75 | received
1.831 pkt: 83 | sent
1.846 ACK: 76 | received
1.846 pkt: 84 | sent
1.862 ACK: 77 | received
1.862 pkt: 85 | sent
1.878 ACK: 78 | received
1.893 pkt: 86 | sent
1.909 ACK: 79 | received
1.909 pkt: 87 | sent
1.924 ACK: 80 | received
1.940 pkt: 88 | sent
1.956 ACK: 81 | received
1.956 pkt: 89 | sent
1.971 ACK: 82 | received
1.987 pkt: 90 | sent
2.003 ACK: 83 | received
2.003 pkt: 91 | sent
2.018 ACK: 84 | received
2.034 pkt: 92 | sent
2.034 ACK: 85 | received
2.049 pkt: 93 | sent
2.065 ACK: 86 | received
2.065 pkt: 94 | sent
2.081 ACK: 87 | received
2.081 pkt: 95 | sent
2.096 ACK: 88 | received
2.112 pkt: 96 | sent
2.127 ACK: 89 | received
2.127 pkt: 97 | sent
2.143 ACK: 90 | received
2.159 pkt: 98 | sent
2.174 ACK: 91 | received
2.174 pkt: 99 | sent
2.190 ACK: 92 | received
2.206 pkt: 100 | sent
2.206 ACK: 93 | received
2.221 pkt: 101 | sent
2.237 ACK: 94 | received
2.237 pkt: 102 | sent
2.252 ACK: 95 | received
2.268 pkt: 103 | sent
2.284 ACK: 96 | received
2.284 pkt: 104 | sent
2.299 ACK: 97 | received
2.299 pkt: 105 | sent
2.315 ACK: 98 | received
2.331 pkt: 106 | sent
2.346 ACK: 99 | received
2.346 pkt: 107 | sent
2.362 ACK: 100 | received
2.377 pkt: 108 | sent
2.393 ACK: 101 | received
2.398 pkt: 109 | sent
2.414 ACK: 102 | received
2.421 pkt: 110 | sent
2.437 ACK: 103 | received
2.437 pkt: 111 | sent
2.460 ACK: 104 | received
2.460 pkt: 112 | sent
2.476 ACK: 105 | received
2.491 pkt: 113 | sent
2.507 ACK: 106 | received
2.507 pkt: 114 | sent
2.522 ACK: 107 | received
2.538 pkt: 115 | sent
